text,failureCat
ASU2 TSA : To replace AOV  ASU2 TSA : To replace AOV ASU2 TSA : To replace AOV,Valve leaking/passing
ASU1 : To replace manifold tx LZAH-1A02  ASU1 : To replace manifold tx LZAH-1A02 ASU1 : To replace manifold tx LZAH-1A02,Manifold damaged/faulty/leaking/passing
To replace LO DP transmitter  To replace LO DP transmitter To replace LO DP transmitter,TX/Sensor damaged/faulty
HRSG G:To perform preventive maintenance  HRSG G:To perform preventive maintenance HRSG G:To perform preventive maintenance pressure transmitter during CF Renewal.   Equipments included: - Pressure Transmitters - DP Pressure Transmitters - Level Transmitters - Flow Transmitters ,Non-Failure
IAP : Vlv Stroking Test n Visual Inspec  IAP : Vlv Stroking Test n Visual Inspec IAP : Vlv Stroking Test n Visual Inspec,Non-Failure
IAP : Pressure Transmitter calibration  IAP : Pressure Transmitter calibration IAP : Pressure Transmitter calibration,TX/Sensor Drift
IAP : Temperature Tx Calibration  IAP : Temperature Tx Calibration IAP : Temperature Tx Calibration,TX/Sensor Drift
ASU2 BI :TO REMOVE AND INSTALL INSULATIO  ASU2 BI :TO REMOVE AND INSTALL INSULATIO ASU2 BI :TO REMOVE AND INSTALL INSULATIO,Non-Failure
To calibrate transmitter  To calibrate transmitter To calibrate transmitter,TX/Sensor Drift
ASU2 : To replace gasket PICA613-CV  ASU2 : To replace gasket PICA613-CV ASU2 : To replace gasket PICA613-CV,Valve leaking/passing
ASU2 BI : TSA BED TO RERANGE TRANSMITTER  ASU2 BI : TSA BED TO RERANGE TRANSMITTER ASU2 BI : TSA BED TO RERANGE TRANSMITTER,TX/Sensor Out of Range
verification of tx/sensor TIA-4A046  verification of tx/sensor TIA-4A046 verification of tx/sensor TIA-4A046,Non-Failure
Verification of sensor and tx MAC B  Verification of sensor and tx MAC B Verification of sensor and tx MAC B,Non-Failure
ASU2: To do cable continuity check for 1  ASU2: To do cable continuity check for 1 ASU2: To do cable continuity check for 1,TX/Sensor Loop Connection Issue
METERING DEMIN PCESB VARIANCE BIG 1)As found condition: Variance reading for 165FMIR-103-TX is high vs customer meter starting April.  2)Actions taken during Do Troubleshooting: N/A  3)Actions taken during Advance Troubleshooting: - Verified that previous rectification 17/3/2021 not the cause of high variance (due to setting etc)  4)Findings/Observations during Do Troubleshooting: N/A  5)Findings/Observations during Advance Troubleshooting: - Reading variance high starting on 1 April.  6)Source of Problem: Suspect transmitter calibration out  7)As left condition: Tx running  8)PKP and Troubleshooter name & contact number: Adib 0134677523  9)Task: a) Open permit b) Verify 0 c) Flushing. Observe for air trap and record finding. d) As found record e) Recalibrate if required f) Normalize g) Housekeeping and close permit  10)Advance Troubleshooting eLog Number: N/A  11)Special Tools/ Service/ Equipment required: External service. SENSE manpower  12)Attachments: N/A  13)Equipment operation need date: 27 May 2021  14)Rectification Window: based on LAP. Anytime  15)MOC No: N/A  16)Remarks: Require external manpower. SENSE PERFORM VALIDATION 165FMIR-103-TX METERI PERFORM VALIDATION 165FMIR-103-TX METERING DEMIN PCESB METERING DEMIN PCESB VARIANCE BIG 1)As found condition: Variance reading for 165FMIR-103-TX is high vs customer meter starting April.  2)Actions taken during Do Troubleshooting: N/A  3)Actions taken during Advance Troubleshooting: - Verified that previous rectification 17/3/2021 not the cause of high variance (due to setting etc)  4)Findings/Observations during Do Troubleshooting: N/A  5)Findings/Observations during Advance Troubleshooting: - Reading variance high starting on 1 April.  6)Source of Problem: Suspect transmitter calibration out  7)As left condition: Tx running  8)PKP and Troubleshooter name & contact number: Adib 0134677523  9)Task: a) Open permit b) Verify 0 c) Flushing. Observe for air trap and record finding. d) As found record e) Recalibrate if required f) Normalize g) Housekeeping and close permit  10)Advance Troubleshooting eLog Number: N/A  11)Special Tools/ Service/ Equipment required: External service. SENSE manpower  12)Attachments: N/A  13)Equipment operation need date: 27 May 2021  14)Rectification Window: based on LAP. Anytime  15)MOC No: N/A  16)Remarks: Require external manpower. SENSE,TX/Sensor Reading Mismatch/Not Tally with Reference
"ATS EMSB 165FMIR-103-TX DW flow faulty 1)As found condition: 165FMIR-103-TX Demin water flow to EMSB reading faulty  2)Actions taken during Do Troubleshooting: 1. Check with process parameter for actual reading \xe2\x80\x93 reading bad value from DCS 2. Visual inspection for any leakage, water ingress, physical impairment or cable \xe2\x80\x93 no physical damage  3)Actions taken during Advance Troubleshooting: 1. Verified breaker ok 2. Transmitter faulty 3. Loop unhealthy 4. Input card faulty  4)Findings/Observations during Do Troubleshooting: 1. Check with process parameter for actual reading \xe2\x80\x93 reading bad value from DCS 2. Visual inspection for any leakage, water ingress, physical impairment or cable \xe2\x80\x93 no physical damage  5)Findings/Observations during Advance Troubleshooting: 1. Verified breaker ok 2. Transmitter faulty 3. Loop unhealthy 4. Input card faulty  6)Source of Problem: Meter not healthy  7)As left condition: Flow meter reading bad value and continue monitoring with customer  8)PKP and Troubleshooter name & contact number: M Sani 013-3045066  9)Task: To verify meter health 1. Create permit 2. Verify meter health 3. Loop check 4. Close permit  10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OCW-2021-07094  11)Special Tools/ Service/ Equipment required: External service SENSE PA  12)Attachments: N/A  13)Equipment operation need date: 23/03/2021  14)Rectification Window: 23/03/2021  15)MOC No: N/A  16)Remarks To verify meter health ATS EMSB 165FMIR-103-TX DW flow faulty ATS EMSB 165FMIR-103-TX DW flow faulty 1)As found condition: 165FMIR-103-TX Demin water flow to EMSB reading faulty  2)Actions taken during Do Troubleshooting: 1. Check with process parameter for actual reading \xe2\x80\x93 reading bad value from DCS 2. Visual inspection for any leakage, water ingress, physical impairment or cable \xe2\x80\x93 no physical damage  3)Actions taken during Advance Troubleshooting: 1. Verified breaker ok 2. Transmitter faulty 3. Loop unhealthy 4. Input card faulty  4)Findings/Observations during Do Troubleshooting: 1. Check with process parameter for actual reading \xe2\x80\x93 reading bad value from DCS 2. Visual inspection for any leakage, water ingress, physical impairment or cable \xe2\x80\x93 no physical damage  5)Findings/Observations during Advance Troubleshooting: 1. Verified breaker ok 2. Transmitter faulty 3. Loop unhealthy 4. Input card faulty  6)Source of Problem: Meter not healthy  7)As left condition: Flow meter reading bad value and continue monitoring with customer  8)PKP and Troubleshooter name & contact number: M Sani 013-3045066  9)Task: To verify meter health 1. Create permit 2. Verify meter health 3. Loop check 4. Close permit  10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OCW-2021-07094  11)Special Tools/ Service/ Equipment required: External service SENSE PA  12)Attachments: N/A  13)Equipment operation need date: 23/03/2021  14)Rectification Window: 23/03/2021  15)MOC No: N/A  16)Remarks To verify meter health # This job proceed with MRO.",TX/Sensor Reading Undefined
IA Dryer A Valve PM  IA Dryer A Valve PM IA Dryer A Valve PM,Non-Failure
IA Dryer B Valve PM  IA Dryer B Valve PM IA Dryer B Valve PM,Non-Failure
To replace ASU 2 THC Analyzer QIA-4A274  To replace ASU 2 THC Analyzer QIA-4A274 To replace ASU 2 THC Analyzer QIA-4A274,TX/Sensor damaged/faulty
ASU 2 Analyzer PM  ASU 2 Analyzer PM ASU 2 Analyzer PM,Non-Failure
To replace wind monitoring device  To replace wind monitoring device To replace wind monitoring device,TX/Sensor damaged/faulty
HRSG B:To perform preventive maintenance  HRSG B:To perform preventive maintenance HRSG B:To perform preventive maintenance for control valve during CF Renewal. ,Non-Failure
HRSG B: BFW reading heavily fluctuate HRSG B: BFW flow (121FIC-1B51-TX) reading heavily fluctuate  Note: refer attached picture HRSG B: BFW reading heavily fluctuate HRSG B: BFW reading heavily fluctuate HRSG B: BFW flow (121FIC-1B51-TX) reading heavily fluctuate  Note: refer attached picture,TX/Sensor Reading Fluctuate
TO INSTALL INSULATION FOR FIC-1C51-CV.  TO INSTALL INSULATION FOR FIC-1C51-CV. TO INSTALL INSULATION FOR FIC-1C51-CV.,Non-Failure
HRSG D Control Valve Calibration (DOSH)  HRSG D:To perform preventive maintenance HRSG D:To perform preventive maintenance for control valve during CF Renewal. ,Non-Failure
