,description
0,HRSG G:To perform preventive maintenance  HRSG G:To perform preventive maintenance HRSG G:To perform preventive maintenance pressure transmitter during CF Renewal.   Equipments included: - Pressure Transmitters - DP Pressure Transmitters - Level Transmitters - Flow Transmitters 
1,IAP : Vlv Stroking Test n Visual Inspec  IAP : Vlv Stroking Test n Visual Inspec IAP : Vlv Stroking Test n Visual Inspec
2,IAP : Pressure Transmitter calibration  IAP : Pressure Transmitter calibration IAP : Pressure Transmitter calibration
3,IAP : Temperature Tx Calibration  IAP : Temperature Tx Calibration IAP : Temperature Tx Calibration
4,ASU2 TSA : To replace AOV  ASU2 TSA : To replace AOV ASU2 TSA : To replace AOV
5,ASU2 BI :TO REMOVE AND INSTALL INSULATIO  ASU2 BI :TO REMOVE AND INSTALL INSULATIO ASU2 BI :TO REMOVE AND INSTALL INSULATIO
6,ASU1 : To replace manifold tx LZAH-1A02  ASU1 : To replace manifold tx LZAH-1A02 ASU1 : To replace manifold tx LZAH-1A02
7,To calibrate transmitter  To calibrate transmitter To calibrate transmitter
8,To replace LO DP transmitter  To replace LO DP transmitter To replace LO DP transmitter
9,ASU2 : To replace gasket PICA613-CV  ASU2 : To replace gasket PICA613-CV ASU2 : To replace gasket PICA613-CV
10,ASU2 BI : TSA BED TO RERANGE TRANSMITTER  ASU2 BI : TSA BED TO RERANGE TRANSMITTER ASU2 BI : TSA BED TO RERANGE TRANSMITTER
11,verification of tx/sensor TIA-4A046  verification of tx/sensor TIA-4A046 verification of tx/sensor TIA-4A046
12,Verification of sensor and tx MAC B  Verification of sensor and tx MAC B Verification of sensor and tx MAC B
13,ASU2: To do cable continuity check for 1  ASU2: To do cable continuity check for 1 ASU2: To do cable continuity check for 1
